iter	Passed	Remaining
0	8	8861
1	17	8599
2	25	8545
3	34	8549
4	42	8403
5	50	8443
6	59	8508
7	68	8459
8	77	8480
9	85	8503
10	95	8549
11	103	8502
12	111	8464
13	119	8427
14	127	8403
15	135	8359
16	139	8048
17	147	8052
18	157	8117
19	165	8125
20	174	8123
21	182	8093
22	190	8104
23	198	8078
24	207	8092
25	215	8088
26	224	8073
27	231	8050
28	239	8034
29	248	8034
30	256	8021
31	265	8038
32	275	8067
33	283	8053
34	291	8032
35	300	8035
36	308	8031
37	317	8038
38	326	8035
39	334	8038
40	343	8038
41	352	8035
42	360	8017
43	368	8002
44	377	8009
45	385	7994
46	394	7993
47	402	7982
48	410	7973
49	418	7957
50	427	7962
51	435	7946
52	444	7942
53	452	7918
54	460	7919
55	468	7905
56	477	7901
57	486	7900
58	494	7894
59	502	7880
60	511	7868
61	519	7858
62	527	7848
63	536	7843
64	544	7837
65	553	7833
66	561	7825
67	570	7813
68	578	7810
69	587	7806
70	595	7797
71	604	7791
72	612	7779
73	620	7765
74	628	7757
75	637	7749
76	645	7742
77	654	7739
78	662	7728
79	670	7714
80	678	7700
81	687	7691
82	695	7683
83	704	7677
84	712	7667
85	720	7658
86	728	7646
87	737	7644
88	746	7636
89	754	7625
90	762	7617
91	770	7608
92	779	7601
93	787	7591
94	796	7584
95	805	7582
96	813	7575
97	821	7563
98	830	7558
99	838	7550
100	847	7540
101	856	7537
102	864	7530
103	873	7525
104	882	7518
105	891	7515
106	899	7504
107	908	7499
108	916	7491
109	925	7484
110	933	7475
111	941	7465
112	949	7452
113	957	7443
114	965	7431
115	974	7423
116	981	7410
117	990	7401
118	998	7389
119	1005	7377
120	1015	7374
121	1024	7370
122	1033	7365
123	1041	7356
124	1049	7347
125	1057	7335
126	1065	7323
127	1073	7312
128	1081	7301
129	1089	7293
130	1097	7283
131	1106	7276
132	1114	7265
133	1123	7261
134	1132	7254
135	1140	7246
136	1149	7237
137	1157	7231
138	1166	7227
139	1174	7216
140	1183	7208
141	1192	7202
142	1200	7194
143	1208	7186
144	1217	7180
145	1226	7174
146	1234	7165
147	1242	7154
148	1248	7129
149	1256	7120
150	1265	7116
151	1274	7108
152	1282	7098
153	1290	7090
154	1299	7086
155	1308	7077
156	1316	7069
157	1324	7058
158	1333	7051
159	1341	7042
160	1350	7036
161	1358	7027
162	1367	7019
163	1375	7010
164	1384	7008
165	1393	7002
166	1402	6995
167	1410	6987
168	1419	6978
169	1428	6973
170	1436	6964
171	1445	6959
172	1454	6952
173	1462	6943
174	1472	6940
175	1481	6934
176	1489	6923
177	1497	6913
178	1505	6905
179	1513	6895
180	1522	6887
181	1530	6878
182	1538	6870
183	1547	6862
184	1555	6851
185	1563	6842
186	1571	6833
187	1580	6824
188	1588	6814
189	1596	6806
190	1604	6797
191	1613	6790
192	1622	6782
193	1630	6772
194	1638	6763
195	1647	6758
196	1656	6750
197	1664	6741
198	1673	6734
199	1681	6726
200	1690	6719
201	1698	6709
202	1706	6699
203	1714	6690
204	1723	6683
205	1731	6673
206	1740	6668
207	1748	6658
208	1757	6650
209	1765	6640
210	1773	6631
211	1781	6621
212	1783	6591
213	1791	6579
214	1799	6569
215	1807	6561
216	1816	6554
217	1825	6548
218	1833	6538
219	1841	6527
220	1848	6517
